Income,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
14.891,283,2,34,11, Male,No,Yes,Caucasian,333
106.025,483,3,82,15,Female,Yes,Yes,Asian,903
104.593,514,4,71,11, Male,No,No,Asian,580
148.924,681,3,36,11,Female,No,No,Asian,964
55.882,357,2,68,16, Male,No,Yes,Caucasian,331
80.18,569,4,77,10, Male,No,No,Caucasian,1151
20.996,259,2,37,12,Female,No,No,African American,203
71.408,512,2,87,9, Male,No,No,Asian,872
15.125,266,5,66,13,Female,No,No,Caucasian,279
71.061,491,3,41,19,Female,Yes,Yes,African American,1350
63.095,589,4,30,14, Male,No,Yes,Caucasian,1407
15.045,138,3,64,16, Male,No,No,Caucasian,0
80.616,394,1,57,7,Female,No,Yes,Asian,204
43.682,511,1,49,9, Male,No,Yes,Caucasian,1081
19.144,269,2,75,13,Female,No,No,African American,148
20.089,200,3,57,15,Female,No,Yes,African American,0
53.598,286,3,73,17,Female,No,Yes,African American,0
36.496,339,3,69,15,Female,No,Yes,Asian,368
49.57,448,1,28,9,Female,No,Yes,Asian,891
42.079,479,2,44,9, Male,No,No,Asian,1048
17.7,235,4,63,16,Female,No,No,Asian,89
37.348,458,1,72,17,Female,No,No,Caucasian,968
20.103,213,3,61,10, Male,No,Yes,African American,0
64.027,398,5,48,8, Male,No,Yes,African American,411
10.742,156,3,57,15,Female,No,No,Caucasian,0
14.09,326,5,25,16,Female,No,Yes,African American,671
42.471,289,6,44,12,Female,Yes,No,Caucasian,654
32.793,333,2,44,16, Male,No,No,African American,467
186.634,949,2,41,14,Female,No,Yes,African American,1809
26.813,411,4,55,16,Female,No,No,Caucasian,915
34.142,413,4,47,5,Female,No,Yes,Caucasian,863
28.941,210,5,43,16, Male,No,Yes,Asian,0
134.181,563,2,48,13,Female,No,No,Caucasian,526
31.367,162,4,30,10, Male,No,Yes,Caucasian,0
20.15,199,2,25,14,Female,No,Yes,Asian,0
23.35,220,3,49,12,Female,Yes,No,Caucasian,419
62.413,455,2,71,11,Female,No,Yes,Caucasian,762
30.007,462,2,69,9,Female,No,Yes,Caucasian,1093
11.795,300,4,25,10,Female,No,No,Caucasian,531
13.647,264,4,47,14, Male,No,Yes,Caucasian,344
34.95,253,3,54,14,Female,No,No,African American,50
113.659,538,2,66,15, Male,Yes,Yes,African American,1155
44.158,351,2,66,13,Female,No,Yes,Asian,385
36.929,445,1,24,14,Female,No,Yes,Asian,976
31.861,469,3,25,16,Female,No,Yes,Caucasian,1120
77.38,564,3,50,12,Female,No,Yes,Caucasian,997
19.531,376,2,64,16,Female,Yes,Yes,Asian,1241
